ID,numPoints,Alg,Buffer,Box,Mask,Model,mean_IOU,source_file
96,4,random,0,0.9,false,yolov8n,0.9227434046807584,results_96.json
97,4,random,5,0.9,false,yolov8n,0.9227652366430996,results_97.json
98,4,random,10,0.9,false,yolov8n,0.9215438317373799,results_98.json
99,4,random,15,0.9,false,yolov8n,0.9180510644219335,results_99.json
100,4,hill climbing,0,0.9,false,yolov8n,0.928346177676004,results_100.json
101,4,hill climbing,5,0.9,false,yolov8n,0.9291081252328149,results_101.json
102,4,hill climbing,10,0.9,false,yolov8n,0.9260707789613136,results_102.json
103,4,hill climbing,15,0.9,false,yolov8n,0.924538509740184,results_103.json
104,4,voronoi,0,0.9,false,yolov8n,0.9238698370199823,results_104.json
105,4,voronoi,5,0.9,false,yolov8n,0.9238898357036363,results_105.json
106,4,voronoi,10,0.9,false,yolov8n,0.9200906301672216,results_106.json
107,4,voronoi,15,0.9,false,yolov8n,0.9193235008999554,results_107.json
108,5,random,0,0.9,false,yolov8n,0.9234033380470645,results_108.json
109,5,random,5,0.9,false,yolov8n,0.9230826962117014,results_109.json
110,5,random,10,0.9,false,yolov8n,0.9222394496859806,results_110.json
111,5,random,15,0.9,false,yolov8n,0.9188037520353486,results_111.json
112,5,hill climbing,0,0.9,false,yolov8n,0.9254418978893788,results_112.json
113,5,hill climbing,5,0.9,false,yolov8n,0.9290819918291131,results_113.json
114,5,hill climbing,10,0.9,false,yolov8n,0.9275106794279223,results_114.json
115,5,hill climbing,15,0.9,false,yolov8n,0.9256420929664744,results_115.json
116,5,voronoi,0,0.9,false,yolov8n,0.9246814472141756,results_116.json
117,5,voronoi,5,0.9,false,yolov8n,0.9233293491565855,results_117.json
118,5,voronoi,10,0.9,false,yolov8n,0.9216092171028791,results_118.json
119,5,voronoi,15,0.9,false,yolov8n,0.9206803100789287,results_119.json
120,1,random,0,1.0,false,yolov8n,0.9305622222382771,results_120.json
121,1,random,5,1.0,false,yolov8n,0.9294609598935084,results_121.json
122,1,random,10,1.0,false,yolov8n,0.9313817803617443,results_122.json
123,1,random,15,1.0,false,yolov8n,0.9302823419553071,results_123.json
124,1,hill climbing,0,1.0,false,yolov8n,0.9298911635215127,results_124.json
125,1,hill climbing,5,1.0,false,yolov8n,0.9293094600213202,results_125.json
126,1,hill climbing,10,1.0,false,yolov8n,0.9298939512136863,results_126.json
127,1,hill climbing,15,1.0,false,yolov8n,0.9285799309839502,results_127.json
128,1,voronoi,0,1.0,false,yolov8n,0.9307160787297499,results_128.json
129,1,voronoi,5,1.0,false,yolov8n,0.9310218668775805,results_129.json
130,1,voronoi,10,1.0,false,yolov8n,0.9312676382479239,results_130.json
131,1,voronoi,15,1.0,false,yolov8n,0.931111952822439,results_131.json
132,2,random,0,1.0,false,yolov8n,0.9305174278220516,results_132.json
133,2,random,5,1.0,false,yolov8n,0.9306631911031762,results_133.json
134,2,random,10,1.0,false,yolov8n,0.9317845354710734,results_134.json
135,2,random,15,1.0,false,yolov8n,0.9318826782146191,results_135.json
136,2,hill climbing,0,1.0,false,yolov8n,0.9291188350642999,results_136.json
137,2,hill climbing,5,1.0,false,yolov8n,0.9292509497578054,results_137.json
138,2,hill climbing,10,1.0,false,yolov8n,0.9299927339511618,results_138.json
139,2,hill climbing,15,1.0,false,yolov8n,0.928312698717338,results_139.json
140,2,voronoi,0,1.0,false,yolov8n,0.9314973608214311,results_140.json
